11:59:31 [AccountInfo] Account connected (Account: admin, IpAddress: 175.176.33.119, GameServerCode: 20)
12:25:27 [AccountInfo] Account disconnected (Account: admin, IpAddress: 175.176.33.119, GameServerCode: 20)
12:25:42 [AccountInfo] Account connected (Account: admin, IpAddress: 175.176.33.119, GameServerCode: 20)
12:25:43 [AccountInfo] Account disconnected (Account: admin, IpAddress: 175.176.33.119, GameServerCode: 20)
12:28:55 [AccountInfo] Account connected (Account: admin, IpAddress: 175.176.33.119, GameServerCode: 20)
13:18:49 [AccountInfo] Account connected (Account: Dooku, IpAddress: 95.147.237.128, GameServerCode: 20)
13:24:11 [AccountInfo] Account disconnected (Account: admin, IpAddress: 175.176.33.119, GameServerCode: 20)
13:33:19 [AccountInfo] Account disconnected (Account: Dooku, IpAddress: 95.147.237.128, GameServerCode: 20)
13:33:24 [AccountInfo] Account connected (Account: arenacs3, IpAddress: 95.147.237.128, GameServerCode: 20)
13:35:06 [AccountInfo] Account disconnected (Account: arenacs3, IpAddress: 95.147.237.128, GameServerCode: 20)
13:38:44 [AccountInfo] Account connected (Account: arenacs3, IpAddress: 95.147.237.128, GameServerCode: 20)
13:39:34 [AccountInfo] Account disconnected (Account: arenacs3, IpAddress: 95.147.237.128, GameServerCode: 20)
14:44:09 [AccountInfo] Account connected (Account: admin, IpAddress: 175.176.33.119, GameServerCode: 20)
14:56:00 [AccountInfo] Account disconnected (Account: admin, IpAddress: 175.176.33.119, GameServerCode: 20)
14:56:16 [AccountInfo] Account connected (Account: admin, IpAddress: 175.176.33.119, GameServerCode: 20)
15:04:58 [AccountInfo] Account connected (Account: admin01, IpAddress: 175.176.33.119, GameServerCode: 20)
15:06:16 [AccountInfo] Account disconnected (Account: admin01, IpAddress: 175.176.33.119, GameServerCode: 20)
15:08:15 [AccountInfo] Account connected (Account: admin01, IpAddress: 175.176.33.119, GameServerCode: 20)
15:08:32 [AccountInfo] Account disconnected (Account: admin01, IpAddress: 175.176.33.119, GameServerCode: 20)
15:10:00 [AccountInfo] Account connected (Account: admin01, IpAddress: 175.176.33.119, GameServerCode: 20)
15:14:08 [AccountInfo] Account disconnected (Account: admin, IpAddress: 175.176.33.119, GameServerCode: 20)
15:14:22 [AccountInfo] Account connected (Account: spuddy, IpAddress: 175.176.33.119, GameServerCode: 20)
15:16:04 [AccountInfo] Account disconnected (Account: admin01, IpAddress: 175.176.33.119, GameServerCode: 20)
15:24:41 [AccountInfo] Account disconnected (Account: spuddy, IpAddress: 175.176.33.119, GameServerCode: 20)
15:26:22 [AccountInfo] Account connected (Account: admin01, IpAddress: 175.176.33.119, GameServerCode: 20)
15:26:46 [AccountInfo] Account disconnected (Account: admin01, IpAddress: 175.176.33.119, GameServerCode: 20)
15:27:28 [AccountInfo] Account connected (Account: admin, IpAddress: 175.176.33.119, GameServerCode: 20)
15:27:37 [AccountInfo] Account disconnected (Account: admin, IpAddress: 175.176.33.119, GameServerCode: 20)
15:28:47 [AccountInfo] Account connected (Account: admin, IpAddress: 175.176.33.119, GameServerCode: 20)
15:32:01 [AccountInfo] Account connected (Account: admin01, IpAddress: 175.176.33.119, GameServerCode: 20)
15:32:09 [AccountInfo] Account disconnected (Account: admin01, IpAddress: 175.176.33.119, GameServerCode: 20)
15:32:14 [AccountInfo] Account connected (Account: admin01, IpAddress: 175.176.33.119, GameServerCode: 20)
15:32:30 [AccountInfo] Account disconnected (Account: admin01, IpAddress: 175.176.33.119, GameServerCode: 20)
15:32:36 [AccountInfo] Account connected (Account: admin01, IpAddress: 175.176.33.119, GameServerCode: 20)
15:32:39 [AccountInfo] Account disconnected (Account: admin01, IpAddress: 175.176.33.119, GameServerCode: 20)
15:34:04 [AccountInfo] Account connected (Account: admin, IpAddress: 175.176.33.119, GameServerCode: 20)
