0
//EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks	
"Blue Candy Box"	 1000	   100		  1		  0		    0		   0
end

1
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent
7           29     0          0          1       1      0        2 //DK Helm
7           30     0          0          1       1      0        2 //VM Helm
7           31     0          0          1       1      0        2 //Syliph Helm
7           33     0          0          1       1      0        2 //sunlight Helm
7           73     0          0          1       1      0        2 //PSS Helm
7           43     0          0          1       1      0        2 //sb Helm

8           29     0          0          1       1      0        2 //DK armor
8           30     0          0          1       1      0        2 //VM armor
8           31     0          0          1       1      0        2 //Syliph armor
8           32     0          0          1       1      0        2 //Volcano armor
8           33     0          0          1       1      0        2 //sunlight armor
8           73     0          0          1       1      0        2 //PSS armor
8           43     0          0          1       1      0        2 //sb Helm

9           29     0          0          1       1      0        2 //DK pants
9           30     0          0          1       1      0        2 //VM pants
9           31     0          0          1       1      0        2 //Syliph pants
9           32     0          0          1       1      0        2 //Volcano pants
9           33     0          0          1       1      0        2 //sunlight pants
9           73     0          0          1       1      0        2 //PSS pants
9           43     0          0          1       1      0        2 //sb Helm

10           29     0          0          1       1      0        2 //DK gloves
10           30     0          0          1       1      0        2 //VM gloves
10           31     0          0          1       1      0        2 //Syliph gloves
10           32     0          0          1       1      0        2 //Volcano gloves
10           33     0          0          1       1      0        2 //sunlight gloves
10           43     0          0          1       1      0        2 //sb Helm

11           29     0          0          1       1      0        2 //DK boots
11           30     0          0          1       1      0        2 //VM boots
11           31     0          0          1       1      0        2 //Syliph boots
11           32     0          0          1       1      0        2 //Volcano boots
11           33     0          0          1       1      0        2 //sunlight boots
11           73     0          0          1       1      0        2 //sunlight boots
11           43     0          0          1       1      0        2 //sb Helm

7           29     0          0          1       1      0        2 //DK Helm
7           30     0          0          1       1      0        2 //VM Helm
7           31     0          0          1       1      0        2 //Syliph Helm
7           33     0          0          1       1      0        2 //sunlight Helm
7           73     0          0          1       1      0        2 //PSS Helm
7           43     0          0          1       1      0        2 //sb Helm

8           29     0          0          1       1      0        2 //DK armor
8           30     0          0          1       1      0        2 //VM armor
8           31     0          0          1       1      0        2 //Syliph armor
8           32     0          0          1       1      0        2 //Volcano armor
8           33     0          0          1       1      0        2 //sunlight armor
8           73     0          0          1       1      0        2 //PSS armor
8           43     0          0          1       1      0        2 //sb Helm

9           29     0          0          1       1      0        2 //DK pants
9           30     0          0          1       1      0        2 //VM pants
9           31     0          0          1       1      0        2 //Syliph pants
9           32     0          0          1       1      0        2 //Volcano pants
9           33     0          0          1       1      0        2 //sunlight pants
9           73     0          0          1       1      0        2 //PSS pants
9           43     0          0          1       1      0        2 //sb Helm

10           29     0          0          1       1      0        2 //DK gloves
10           30     0          0          1       1      0        2 //VM gloves
10           31     0          0          1       1      0        2 //Syliph gloves
10           32     0          0          1       1      0        2 //Volcano gloves
10           33     0          0          1       1      0        2 //sunlight gloves
11           43     0          0          1       1      0        2 //sb Helm

11           29     0          0          1       1      0        2 //DK boots
11           30     0          0          1       1      0        2 //VM boots
11           31     0          0          1       1      0        2 //Syliph boots
11           32     0          0          1       1      0        2 //Volcano boots
11           33     0          0          1       1      0        2 //sunlight boots
11           73     0          0          1       1      0        2 //sunlight boots
11           43     0          0          1       1      0        2 //sb Helm
end
